symbol,effective_month,split,expected_sessions,actual_sessions,expected_bars,actual_bars,missing_bars,missing_bar_rate_pct,duplicate_bars,duplicate_bar_rate_pct,zero_volume_bars,zero_volume_bar_rate_pct,invalid_ohlc_rows,off_grid_bars,premarket_removed,after_hours_removed,early_close_removed,ohlc_consistency_violations,provider_feed,adjustment,requested_symbol,returned_symbol,symbol_mismatch,pagination_complete,rejected,rejection_reason
XLE,2025-03,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,981,575,0,0,sip,raw,XLE,XLE,False,True,False,
XLV,2025-03,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,336,294,0,0,sip,raw,XLV,XLV,False,True,False,
XLI,2025-03,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,196,266,0,0,sip,raw,XLI,XLI,False,True,False,
XLY,2025-03,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,292,137,0,0,sip,raw,XLY,XLY,False,True,False,
XLP,2025-03,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,480,291,0,0,sip,raw,XLP,XLP,False,True,False,
XLU,2025-03,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,335,394,0,0,sip,raw,XLU,XLU,False,True,False,
SMH,2025-03,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,1177,786,0,0,sip,raw,SMH,SMH,False,True,False,
AAPL,2025-04,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,2595,1849,0,0,sip,raw,AAPL,AAPL,False,True,False,
ABBV,2025-04,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,496,326,0,0,sip,raw,ABBV,ABBV,False,True,False,
ADBE,2025-04,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,557,501,0,0,sip,raw,ADBE,ADBE,False,True,False,
AMD,2025-04,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,2599,1890,0,0,sip,raw,AMD,AMD,False,True,False,
AMZN,2025-04,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,2593,1907,0,0,sip,raw,AMZN,AMZN,False,True,False,
APP,2025-04,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,1866,1278,0,0,sip,raw,APP,APP,False,True,False,
AVGO,2025-04,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,2404,1797,0,0,sip,raw,AVGO,AVGO,False,True,False,
BA,2025-04,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,1570,1284,0,0,sip,raw,BA,BA,False,True,False,
BAC,2025-04,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,1719,1256,0,0,sip,raw,BAC,BAC,False,True,False,
BKNG,2025-04,development,42,41,3276,2881,395,12.0574,0,0.0,0,0.0,0,41,15,51,0,0,sip,raw,BKNG,BKNG,False,True,True,missing_bar_rate
BRK.A,2025-04,development,42,41,3276,3135,141,4.304,0,0.0,0,0.0,0,39,20,3,0,0,sip,raw,BRK.A,BRK.A,False,True,False,
BRK.B,2025-04,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,1171,874,0,0,sip,raw,BRK.B,BRK.B,False,True,False,
COIN,2025-04,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,2259,1517,0,0,sip,raw,COIN,COIN,False,True,False,
COST,2025-04,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,486,431,0,0,sip,raw,COST,COST,False,True,False,
CRM,2025-04,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,706,486,0,0,sip,raw,CRM,CRM,False,True,False,
CRWD,2025-04,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,1118,920,0,0,sip,raw,CRWD,CRWD,False,True,False,
CSCO,2025-04,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,1092,677,0,0,sip,raw,CSCO,CSCO,False,True,False,
CVX,2025-04,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,917,662,0,0,sip,raw,CVX,CVX,False,True,False,
F,2025-04,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,1985,1813,0,0,sip,raw,F,F,False,True,False,
GEV,2025-04,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,774,439,0,0,sip,raw,GEV,GEV,False,True,False,
GOOG,2025-04,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,2437,1698,0,0,sip,raw,GOOG,GOOG,False,True,False,
GOOGL,2025-04,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,2569,1820,0,0,sip,raw,GOOGL,GOOGL,False,True,False,
GS,2025-04,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,571,419,0,0,sip,raw,GS,GS,False,True,False,
HD,2025-04,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,352,293,0,0,sip,raw,HD,HD,False,True,False,
HOOD,2025-04,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,2684,1923,0,0,sip,raw,HOOD,HOOD,False,True,False,
INTC,2025-04,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,2691,1926,0,0,sip,raw,INTC,INTC,False,True,False,
ISRG,2025-04,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,269,265,0,0,sip,raw,ISRG,ISRG,False,True,False,
JNJ,2025-04,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,672,321,0,0,sip,raw,JNJ,JNJ,False,True,False,
JPM,2025-04,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,1081,831,0,0,sip,raw,JPM,JPM,False,True,False,
LLY,2025-04,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,580,323,0,0,sip,raw,LLY,LLY,False,True,False,
MA,2025-04,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,199,120,0,0,sip,raw,MA,MA,False,True,False,
META,2025-04,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,2230,1714,0,0,sip,raw,META,META,False,True,False,
MRK,2025-04,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,849,598,0,0,sip,raw,MRK,MRK,False,True,False,
MSFT,2025-04,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,2183,1541,0,0,sip,raw,MSFT,MSFT,False,True,False,
MSTR,2025-04,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,2642,1848,0,0,sip,raw,MSTR,MSTR,False,True,False,
MU,2025-04,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,2441,1755,0,0,sip,raw,MU,MU,False,True,False,
NFLX,2025-04,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,1088,869,0,0,sip,raw,NFLX,NFLX,False,True,False,
NOW,2025-04,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,359,294,0,0,sip,raw,NOW,NOW,False,True,False,
NVDA,2025-04,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,2706,1927,0,0,sip,raw,NVDA,NVDA,False,True,False,
ORCL,2025-04,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,1403,977,0,0,sip,raw,ORCL,ORCL,False,True,False,
PG,2025-04,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,528,292,0,0,sip,raw,PG,PG,False,True,False,
PLTR,2025-04,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,2706,1927,0,0,sip,raw,PLTR,PLTR,False,True,False,
SMCI,2025-04,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,2677,1922,0,0,sip,raw,SMCI,SMCI,False,True,False,
SPOT,2025-04,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,590,370,0,0,sip,raw,SPOT,SPOT,False,True,False,
TSLA,2025-04,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,2706,1927,0,0,sip,raw,TSLA,TSLA,False,True,False,
UBER,2025-04,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,1687,1354,0,0,sip,raw,UBER,UBER,False,True,False,
UNH,2025-04,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,517,519,0,0,sip,raw,UNH,UNH,False,True,False,
V,2025-04,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,495,362,0,0,sip,raw,V,V,False,True,False,
WMT,2025-04,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,1682,1374,0,0,sip,raw,WMT,WMT,False,True,False,
XOM,2025-04,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,1150,720,0,0,sip,raw,XOM,XOM,False,True,False,
SPY,2025-04,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,2677,1923,0,0,sip,raw,SPY,SPY,False,True,False,
QQQ,2025-04,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,2702,1917,0,0,sip,raw,QQQ,QQQ,False,True,False,
IWM,2025-04,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,2615,1806,0,0,sip,raw,IWM,IWM,False,True,False,
DIA,2025-04,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,1653,839,0,0,sip,raw,DIA,DIA,False,True,False,
XLK,2025-04,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,1137,543,0,0,sip,raw,XLK,XLK,False,True,False,
XLF,2025-04,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,2309,1143,0,0,sip,raw,XLF,XLF,False,True,False,
XLE,2025-04,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,1329,660,0,0,sip,raw,XLE,XLE,False,True,False,
XLV,2025-04,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,454,287,0,0,sip,raw,XLV,XLV,False,True,False,
XLI,2025-04,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,294,312,0,0,sip,raw,XLI,XLI,False,True,False,
XLY,2025-04,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,403,176,0,0,sip,raw,XLY,XLY,False,True,False,
XLP,2025-04,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,553,340,0,0,sip,raw,XLP,XLP,False,True,False,
XLU,2025-04,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,409,483,0,0,sip,raw,XLU,XLU,False,True,False,
SMH,2025-04,development,42,41,3276,3198,78,2.381,0,0.0,0,0.0,0,41,1501,924,0,0,sip,raw,SMH,SMH,False,True,False,
AAPL,2025-05,development,41,41,3198,3198,0,0.0,0,0.0,0,0.0,0,41,2618,1902,0,0,sip,raw,AAPL,AAPL,False,True,False,
ABBV,2025-05,development,41,41,3198,3198,0,0.0,0,0.0,0,0.0,0,41,516,382,0,0,sip,raw,ABBV,ABBV,False,True,False,
ADBE,2025-05,development,41,41,3198,3198,0,0.0,0,0.0,0,0.0,0,41,467,355,0,0,sip,raw,ADBE,ADBE,False,True,False,
AMD,2025-05,development,41,41,3198,3198,0,0.0,0,0.0,0,0.0,0,41,2622,1913,0,0,sip,raw,AMD,AMD,False,True,False,
AMZN,2025-05,development,41,41,3198,3198,0,0.0,0,0.0,0,0.0,0,41,2570,1911,0,0,sip,raw,AMZN,AMZN,False,True,False,
APP,2025-05,development,41,41,3198,3198,0,0.0,0,0.0,0,0.0,0,41,1628,1226,0,0,sip,raw,APP,APP,False,True,False,
AVGO,2025-05,development,41,41,3198,3198,0,0.0,0,0.0,0,0.0,0,41,2246,1702,0,0,sip,raw,AVGO,AVGO,False,True,False,
BA,2025-05,development,41,41,3198,3198,0,0.0,0,0.0,0,0.0,0,41,1670,1310,0,0,sip,raw,BA,BA,False,True,False,
BAC,2025-05,development,41,41,3198,3198,0,0.0,0,0.0,0,0.0,0,41,1766,1236,0,0,sip,raw,BAC,BAC,False,True,False,
BRK.B,2025-05,development,41,41,3198,3198,0,0.0,0,0.0,0,0.0,0,41,1305,966,0,0,sip,raw,BRK.B,BRK.B,False,True,False,
COIN,2025-05,development,41,41,3198,3198,0,0.0,0,0.0,0,0.0,0,41,2285,1579,0,0,sip,raw,COIN,COIN,False,True,False,
COST,2025-05,development,41,41,3198,3198,0,0.0,0,0.0,0,0.0,0,41,430,414,0,0,sip,raw,COST,COST,False,True,False,
CRM,2025-05,development,41,41,3198,3198,0,0.0,0,0.0,0,0.0,0,41,895,634,0,0,sip,raw,CRM,CRM,False,True,False,
CRWD,2025-05,development,41,41,3198,3198,0,0.0,0,0.0,0,0.0,0,41,1051,807,0,0,sip,raw,CRWD,CRWD,False,True,False,
CVX,2025-05,development,41,41,3198,3198,0,0.0,0,0.0,0,0.0,0,41,1168,819,0,0,sip,raw,CVX,CVX,False,True,False,
F,2025-05,development,41,41,3198,3198,0,0.0,0,0.0,0,0.0,0,41,1979,1777,0,0,sip,raw,F,F,False,True,False,
GEV,2025-05,development,41,41,3198,3198,0,0.0,0,0.0,0,0.0,0,41,838,527,0,0,sip,raw,GEV,GEV,False,True,False,
GOOG,2025-05,development,41,41,3198,3198,0,0.0,0,0.0,0,0.0,0,41,2474,1773,0,0,sip,raw,GOOG,GOOG,False,True,False,
GOOGL,2025-05,development,41,41,3198,3198,0,0.0,0,0.0,0,0.0,0,41,2585,1861,0,0,sip,raw,GOOGL,GOOGL,False,True,False,
GS,2025-05,development,41,41,3198,3198,0,0.0,0,0.0,0,0.0,0,41,556,382,0,0,sip,raw,GS,GS,False,True,False,
HOOD,2025-05,development,41,41,3198,3198,0,0.0,0,0.0,0,0.0,0,41,2670,1921,0,0,sip,raw,HOOD,HOOD,False,True,False,
INTC,2025-05,development,41,41,3198,3198,0,0.0,0,0.0,0,0.0,0,41,2685,1919,0,0,sip,raw,INTC,INTC,False,True,False,
JNJ,2025-05,development,41,41,3198,3198,0,0.0,0,0.0,0,0.0,0,41,679,342,0,0,sip,raw,JNJ,JNJ,False,True,False,
JPM,2025-05,development,41,41,3198,3198,0,0.0,0,0.0,0,0.0,0,41,940,738,0,0,sip,raw,JPM,JPM,False,True,False,
LLY,2025-05,development,41,41,3198,3198,0,0.0,0,0.0,0,0.0,0,41,818,565,0,0,sip,raw,LLY,LLY,False,True,False,
MA,2025-05,development,41,41,3198,3198,0,0.0,0,0.0,0,0.0,0,41,198,108,0,0,sip,raw,MA,MA,False,True,False,
META,2025-05,development,41,41,3198,3198,0,0.0,0,0.0,0,0.0,0,41,2173,1702,0,0,sip,raw,META,META,False,True,False,
MRK,2025-05,development,41,41,3198,3198,0,0.0,0,0.0,0,0.0,0,41,1114,788,0,0,sip,raw,MRK,MRK,False,True,False,
MSFT,2025-05,development,41,41,3198,3198,0,0.0,0,0.0,0,0.0,0,41,2187,1521,0,0,sip,raw,MSFT,MSFT,False,True,False,
MSTR,2025-05,development,41,41,3198,3198,0,0.0,0,0.0,0,0.0,0,41,2614,1824,0,0,sip,raw,MSTR,MSTR,False,True,False,
MU,2025-05,development,41,41,3198,3198,0,0.0,0,0.0,0,0.0,0,41,2352,1681,0,0,sip,raw,MU,MU,False,True,False,
NFLX,2025-05,development,41,41,3198,3198,0,0.0,0,0.0,0,0.0,0,41,1182,872,0,0,sip,raw,NFLX,NFLX,False,True,False,
NOW,2025-05,development,41,41,3198,3198,0,0.0,0,0.0,0,0.0,0,41,349,297,0,0,sip,raw,NOW,NOW,False,True,False,
NVDA,2025-05,development,41,41,3198,3198,0,0.0,0,0.0,0,0.0,0,41,2706,1927,0,0,sip,raw,NVDA,NVDA,False,True,False,
ORCL,2025-05,development,41,41,3198,3198,0,0.0,0,0.0,0,0.0,0,41,1152,842,0,0,sip,raw,ORCL,ORCL,False,True,False,
PG,2025-05,development,41,41,3198,3198,0,0.0,0,0.0,0,0.0,0,41,524,304,0,0,sip,raw,PG,PG,False,True,False,
PLTR,2025-05,development,41,41,3198,3198,0,0.0,0,0.0,0,0.0,0,41,2706,1927,0,0,sip,raw,PLTR,PLTR,False,True,False,
PM,2025-05,development,41,41,3198,3198,0,0.0,0,0.0,0,0.0,0,41,458,239,0,0,sip,raw,PM,PM,False,True,False,
QCOM,2025-05,development,41,41,3198,3198,0,0.0,0,0.0,0,0.0,0,41,1340,854,0,0,sip,raw,QCOM,QCOM,False,True,False,
SMCI,2025-05,development,41,41,3198,3198,0,0.0,0,0.0,0,0.0,0,41,2667,1924,0,0,sip,raw,SMCI,SMCI,False,True,False,
SPOT,2025-05,development,41,41,3198,3198,0,0.0,0,0.0,0,0.0,0,41,611,432,0,0,sip,raw,SPOT,SPOT,False,True,False,
TMO,2025-05,development,41,41,3198,3198,0,0.0,0,0.0,0,0.0,0,41,140,126,0,0,sip,raw,TMO,TMO,False,True,False,
TSLA,2025-05,development,41,41,3198,3198,0,0.0,0,0.0,0,0.0,0,41,2706,1927,0,0,sip,raw,TSLA,TSLA,False,True,False,
TXN,2025-05,development,41,41,3198,3198,0,0.0,0,0.0,0,0.0,0,41,667,433,0,0,sip,raw,TXN,TXN,False,True,False,
UBER,2025-05,development,41,41,3198,3198,0,0.0,0,0.0,0,0.0,0,41,1794,1471,0,0,sip,raw,UBER,UBER,False,True,False,
UNH,2025-05,development,41,41,3198,3198,0,0.0,0,0.0,0,0.0,0,41,1458,1256,0,0,sip,raw,UNH,UNH,False,True,False,
V,2025-05,development,41,41,3198,3198,0,0.0,0,0.0,0,0.0,0,41,474,346,0,0,sip,raw,V,V,False,True,False,
WFC,2025-05,development,41,41,3198,3198,0,0.0,0,0.0,0,0.0,0,41,889,669,0,0,sip,raw,WFC,WFC,False,True,False,
WMT,2025-05,development,41,41,3198,3198,0,0.0,0,0.0,0,0.0,0,41,1589,1311,0,0,sip,raw,WMT,WMT,False,True,False,
XOM,2025-05,development,41,41,3198,3198,0,0.0,0,0.0,0,0.0,0,41,1290,787,0,0,sip,raw,XOM,XOM,False,True,False,
SPY,2025-05,development,41,41,3198,3198,0,0.0,0,0.0,0,0.0,0,41,2687,1918,0,0,sip,raw,SPY,SPY,False,True,False,
QQQ,2025-05,development,41,41,3198,3198,0,0.0,0,0.0,0,0.0,0,41,2700,1911,0,0,sip,raw,QQQ,QQQ,False,True,False,
IWM,2025-05,development,41,41,3198,3198,0,0.0,0,0.0,0,0.0,0,41,2607,1782,0,0,sip,raw,IWM,IWM,False,True,False,
DIA,2025-05,development,41,41,3198,3198,0,0.0,0,0.0,0,0.0,0,41,1692,805,0,0,sip,raw,DIA,DIA,False,True,False,
XLK,2025-05,development,41,41,3198,3198,0,0.0,0,0.0,0,0.0,0,41,1246,556,0,0,sip,raw,XLK,XLK,False,True,False,
XLF,2025-05,development,41,41,3198,3198,0,0.0,0,0.0,0,0.0,0,41,2266,1056,0,0,sip,raw,XLF,XLF,False,True,False,
XLE,2025-05,development,41,41,3198,3198,0,0.0,0,0.0,0,0.0,0,41,1527,640,0,0,sip,raw,XLE,XLE,False,True,False,
XLV,2025-05,development,41,41,3198,3198,0,0.0,0,0.0,0,0.0,0,41,682,409,0,0,sip,raw,XLV,XLV,False,True,False,
XLI,2025-05,development,41,41,3198,3198,0,0.0,0,0.0,0,0.0,0,41,345,279,0,0,sip,raw,XLI,XLI,False,True,False,
XLY,2025-05,development,41,41,3198,3198,0,0.0,0,0.0,0,0.0,0,41,402,177,0,0,sip,raw,XLY,XLY,False,True,False,
XLP,2025-05,development,41,41,3198,3198,0,0.0,0,0.0,0,0.0,0,41,535,326,0,0,sip,raw,XLP,XLP,False,True,False,
XLU,2025-05,development,41,41,3198,3198,0,0.0,0,0.0,0,0.0,0,41,458,475,0,0,sip,raw,XLU,XLU,False,True,False,
SMH,2025-05,development,41,41,3198,3198,0,0.0,0,0.0,0,0.0,0,41,1599,994,0,0,sip,raw,SMH,SMH,False,True,False,
AAPL,2025-06,development,41,40,3198,3120,78,2.439,0,0.0,0,0.0,0,40,2541,1865,0,0,sip,raw,AAPL,AAPL,False,True,False,
ABBV,2025-06,development,41,40,3198,3120,78,2.439,0,0.0,0,0.0,0,40,289,255,0,0,sip,raw,ABBV,ABBV,False,True,False,
AMD,2025-06,development,41,40,3198,3120,78,2.439,0,0.0,0,0.0,0,40,2580,1875,0,0,sip,raw,AMD,AMD,False,True,False,
AMZN,2025-06,development,41,40,3198,3120,78,2.439,0,0.0,0,0.0,0,40,2471,1839,0,0,sip,raw,AMZN,AMZN,False,True,False,
APP,2025-06,development,41,40,3198,3120,78,2.439,0,0.0,0,0.0,0,40,1355,1054,0,0,sip,raw,APP,APP,False,True,False,
AVGO,2025-06,development,41,40,3198,3120,78,2.439,0,0.0,0,0.0,0,40,2175,1632,0,0,sip,raw,AVGO,AVGO,False,True,False,
BA,2025-06,development,41,40,3198,3120,78,2.439,0,0.0,0,0.0,0,40,1501,1231,0,0,sip,raw,BA,BA,False,True,False,
BAC,2025-06,development,41,40,3198,3120,78,2.439,0,0.0,0,0.0,0,40,1391,963,0,0,sip,raw,BAC,BAC,False,True,False,
BRK.B,2025-06,development,41,40,3198,3120,78,2.439,0,0.0,0,0.0,0,40,1089,842,0,0,sip,raw,BRK.B,BRK.B,False,True,False,
COIN,2025-06,development,41,40,3198,3120,78,2.439,0,0.0,0,0.0,0,40,2328,1682,0,0,sip,raw,COIN,COIN,False,True,False,
COST,2025-06,development,41,40,3198,3120,78,2.439,0,0.0,0,0.0,0,40,286,343,0,0,sip,raw,COST,COST,False,True,False,
CRM,2025-06,development,41,40,3198,3120,78,2.439,0,0.0,0,0.0,0,40,860,654,0,0,sip,raw,CRM,CRM,False,True,False,
CRWD,2025-06,development,41,40,3198,3120,78,2.439,0,0.0,0,0.0,0,40,932,683,0,0,sip,raw,CRWD,CRWD,False,True,False,
CRWV,2025-06,development,41,40,3198,3120,78,2.439,0,0.0,0,0.0,0,40,2419,1803,0,0,sip,raw,CRWV,CRWV,False,True,False,
CVNA,2025-06,development,41,40,3198,3120,78,2.439,0,0.0,0,0.0,0,40,840,635,0,0,sip,raw,CVNA,CVNA,False,True,False,
CVX,2025-06,development,41,40,3198,3120,78,2.439,0,0.0,0,0.0,0,40,1059,744,0,0,sip,raw,CVX,CVX,False,True,False,
GEV,2025-06,development,41,40,3198,3120,78,2.439,0,0.0,0,0.0,0,40,713,411,0,0,sip,raw,GEV,GEV,False,True,False,
GOOG,2025-06,development,41,40,3198,3120,78,2.439,0,0.0,0,0.0,0,40,2407,1723,0,0,sip,raw,GOOG,GOOG,False,True,False,
GOOGL,2025-06,development,41,40,3198,3120,78,2.439,0,0.0,0,0.0,0,40,2509,1823,0,0,sip,raw,GOOGL,GOOGL,False,True,False,
GS,2025-06,development,41,40,3198,3120,78,2.439,0,0.0,0,0.0,0,40,330,257,0,0,sip,raw,GS,GS,False,True,False,
HIMS,2025-06,development,41,40,3198,3120,78,2.439,0,0.0,0,0.0,0,40,2575,1872,0,0,sip,raw,HIMS,HIMS,False,True,False,
HOOD,2025-06,development,41,40,3198,3120,78,2.439,0,0.0,0,0.0,0,40,2603,1874,0,0,sip,raw,HOOD,HOOD,False,True,False,
INTC,2025-06,development,41,40,3198,3120,78,2.439,0,0.0,0,0.0,0,40,2617,1870,0,0,sip,raw,INTC,INTC,False,True,False,
JNJ,2025-06,development,41,40,3198,3120,78,2.439,0,0.0,0,0.0,0,40,435,249,0,0,sip,raw,JNJ,JNJ,False,True,False,
JPM,2025-06,development,41,40,3198,3120,78,2.439,0,0.0,0,0.0,0,40,678,492,0,0,sip,raw,JPM,JPM,False,True,False,
LLY,2025-06,development,41,40,3198,3120,78,2.439,0,0.0,0,0.0,0,40,654,505,0,0,sip,raw,LLY,LLY,False,True,False,
MA,2025-06,development,41,40,3198,3120,78,2.439,0,0.0,0,0.0,0,40,162,103,0,0,sip,raw,MA,MA,False,True,False,
META,2025-06,development,41,40,3198,3120,78,2.439,0,0.0,0,0.0,0,40,1866,1511,0,0,sip,raw,META,META,False,True,False,
MRVL,2025-06,development,41,40,3198,3120,78,2.439,0,0.0,0,0.0,0,40,2245,1623,0,0,sip,raw,MRVL,MRVL,False,True,False,
MSFT,2025-06,development,41,40,3198,3120,78,2.439,0,0.0,0,0.0,0,40,1935,1303,0,0,sip,raw,MSFT,MSFT,False,True,False,
MSTR,2025-06,development,41,40,3198,3120,78,2.439,0,0.0,0,0.0,0,40,2425,1701,0,0,sip,raw,MSTR,MSTR,False,True,False,
MU,2025-06,development,41,40,3198,3120,78,2.439,0,0.0,0,0.0,0,40,2271,1599,0,0,sip,raw,MU,MU,False,True,False,
NFLX,2025-06,development,41,40,3198,3120,78,2.439,0,0.0,0,0.0,0,40,777,527,0,0,sip,raw,NFLX,NFLX,False,True,False,
NOW,2025-06,development,41,40,3198,3118,80,2.5016,0,0.0,0,0.0,0,40,167,175,0,0,sip,raw,NOW,NOW,False,True,False,
NVDA,2025-06,development,41,40,3198,3120,78,2.439,0,0.0,0,0.0,0,40,2640,1880,0,0,sip,raw,NVDA,NVDA,False,True,False,
ORCL,2025-06,development,41,40,3198,3120,78,2.439,0,0.0,0,0.0,0,40,1256,913,0,0,sip,raw,ORCL,ORCL,False,True,False,
PEP,2025-06,development,41,40,3198,3120,78,2.439,0,0.0,0,0.0,0,40,1085,737,0,0,sip,raw,PEP,PEP,False,True,False,
PLTR,2025-06,development,41,40,3198,3120,78,2.439,0,0.0,0,0.0,0,40,2640,1880,0,0,sip,raw,PLTR,PLTR,False,True,False,
QBTS,2025-06,development,41,40,3198,3120,78,2.439,0,0.0,0,0.0,0,40,2600,1878,0,0,sip,raw,QBTS,QBTS,False,True,False,
QCOM,2025-06,development,41,40,3198,3120,78,2.439,0,0.0,0,0.0,0,40,1147,728,0,0,sip,raw,QCOM,QCOM,False,True,False,
SHOP,2025-06,development,41,40,3198,3120,78,2.439,0,0.0,0,0.0,0,40,1259,1022,0,0,sip,raw,SHOP,SHOP,False,True,False,
SMCI,2025-06,development,41,40,3198,3120,78,2.439,0,0.0,0,0.0,0,40,2598,1876,0,0,sip,raw,SMCI,SMCI,False,True,False,
SPOT,2025-06,development,41,40,3198,3120,78,2.439,0,0.0,0,0.0,0,40,334,270,0,0,sip,raw,SPOT,SPOT,False,True,False,
TSLA,2025-06,development,41,40,3198,3120,78,2.439,0,0.0,0,0.0,0,40,2640,1880,0,0,sip,raw,TSLA,TSLA,False,True,False,
TXN,2025-06,development,41,40,3198,3120,78,2.439,0,0.0,0,0.0,0,40,305,242,0,0,sip,raw,TXN,TXN,False,True,False,
UBER,2025-06,development,41,40,3198,3120,78,2.439,0,0.0,0,0.0,0,40,1754,1431,0,0,sip,raw,UBER,UBER,False,True,False,
UNH,2025-06,development,41,40,3198,3120,78,2.439,0,0.0,0,0.0,0,40,1945,1669,0,0,sip,raw,UNH,UNH,False,True,False,
V,2025-06,development,41,40,3198,3120,78,2.439,0,0.0,0,0.0,0,40,480,301,0,0,sip,raw,V,V,False,True,False,
WMT,2025-06,development,41,40,3198,3120,78,2.439,0,0.0,0,0.0,0,40,1334,1199,0,0,sip,raw,WMT,WMT,False,True,False,
XOM,2025-06,development,41,40,3198,3120,78,2.439,0,0.0,0,0.0,0,40,1334,917,0,0,sip,raw,XOM,XOM,False,True,False,
SPY,2025-06,development,41,40,3198,3120,78,2.439,0,0.0,0,0.0,0,40,2629,1864,0,0,sip,raw,SPY,SPY,False,True,False,
QQQ,2025-06,development,41,40,3198,3120,78,2.439,0,0.0,0,0.0,0,40,2636,1860,0,0,sip,raw,QQQ,QQQ,False,True,False,
IWM,2025-06,development,41,40,3198,3120,78,2.439,0,0.0,0,0.0,0,40,2558,1737,0,0,sip,raw,IWM,IWM,False,True,False,
