symbol,effective_month,split,expected_sessions,actual_sessions,expected_bars,actual_bars,missing_bars,missing_bar_rate_pct,pre_dedup_duplicate_bars,duplicate_bars,duplicate_bar_rate_pct,malformed_rows,malformed_row_rate_pct,zero_volume_bars,zero_volume_bar_rate_pct,invalid_ohlc_rows,off_grid_bars,premarket_removed,after_hours_removed,early_close_removed,ohlc_consistency_violations,provider_feed,adjustment,requested_symbol,returned_symbol,symbol_mismatch,pagination_complete,rejected,rejection_reason
SPOT,2025-03,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,SPOT,SPOT,False,True,False,
TEM,2025-03,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,TEM,TEM,False,True,False,
TSLA,2025-03,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,TSLA,TSLA,False,True,False,
UBER,2025-03,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,UBER,UBER,False,True,False,
UNH,2025-03,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,UNH,UNH,False,True,False,
V,2025-03,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,V,V,False,True,False,
WFC,2025-03,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,WFC,WFC,False,True,False,
WMT,2025-03,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,WMT,WMT,False,True,False,
XOM,2025-03,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,XOM,XOM,False,True,False,
SPY,2025-03,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,SPY,SPY,False,True,False,
QQQ,2025-03,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,QQQ,QQQ,False,True,False,
IWM,2025-03,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,IWM,IWM,False,True,False,
DIA,2025-03,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,DIA,DIA,False,True,False,
XLK,2025-03,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,XLK,XLK,False,True,False,
XLF,2025-03,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,XLF,XLF,False,True,False,
XLE,2025-03,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,XLE,XLE,False,True,False,
XLV,2025-03,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,XLV,XLV,False,True,False,
XLI,2025-03,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,XLI,XLI,False,True,False,
XLY,2025-03,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,XLY,XLY,False,True,False,
XLP,2025-03,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,XLP,XLP,False,True,False,
XLU,2025-03,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,XLU,XLU,False,True,False,
SMH,2025-03,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,SMH,SMH,False,True,False,
AAPL,2025-04,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,AAPL,AAPL,False,True,False,
ABBV,2025-04,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,ABBV,ABBV,False,True,False,
ADBE,2025-04,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,ADBE,ADBE,False,True,False,
AMD,2025-04,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,AMD,AMD,False,True,False,
AMZN,2025-04,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,AMZN,AMZN,False,True,False,
APP,2025-04,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,APP,APP,False,True,False,
AVGO,2025-04,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,AVGO,AVGO,False,True,False,
BA,2025-04,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,BA,BA,False,True,False,
BAC,2025-04,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,BAC,BAC,False,True,False,
BKNG,2025-04,development,41,41,3198,2881,317,9.9124,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,BKNG,BKNG,False,True,True,missing_bar_rate
BRK.A,2025-04,development,41,41,3198,3135,63,1.97,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,BRK.A,BRK.A,False,True,False,
BRK.B,2025-04,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,BRK.B,BRK.B,False,True,False,
COIN,2025-04,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,COIN,COIN,False,True,False,
COST,2025-04,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,COST,COST,False,True,False,
CRM,2025-04,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,CRM,CRM,False,True,False,
CRWD,2025-04,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,CRWD,CRWD,False,True,False,
CSCO,2025-04,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,CSCO,CSCO,False,True,False,
CVX,2025-04,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,CVX,CVX,False,True,False,
F,2025-04,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,F,F,False,True,False,
GEV,2025-04,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,GEV,GEV,False,True,False,
GOOG,2025-04,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,GOOG,GOOG,False,True,False,
GOOGL,2025-04,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,GOOGL,GOOGL,False,True,False,
GS,2025-04,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,GS,GS,False,True,False,
HD,2025-04,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,HD,HD,False,True,False,
HOOD,2025-04,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,HOOD,HOOD,False,True,False,
INTC,2025-04,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,INTC,INTC,False,True,False,
ISRG,2025-04,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,ISRG,ISRG,False,True,False,
JNJ,2025-04,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,JNJ,JNJ,False,True,False,
JPM,2025-04,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,JPM,JPM,False,True,False,
LLY,2025-04,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,LLY,LLY,False,True,False,
MA,2025-04,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,MA,MA,False,True,False,
META,2025-04,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,META,META,False,True,False,
MRK,2025-04,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,MRK,MRK,False,True,False,
MSFT,2025-04,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,MSFT,MSFT,False,True,False,
MSTR,2025-04,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,MSTR,MSTR,False,True,False,
MU,2025-04,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,MU,MU,False,True,False,
NFLX,2025-04,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,NFLX,NFLX,False,True,False,
NOW,2025-04,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,NOW,NOW,False,True,False,
NVDA,2025-04,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,NVDA,NVDA,False,True,False,
ORCL,2025-04,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,ORCL,ORCL,False,True,False,
PG,2025-04,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,PG,PG,False,True,False,
PLTR,2025-04,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,PLTR,PLTR,False,True,False,
SMCI,2025-04,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,SMCI,SMCI,False,True,False,
SPOT,2025-04,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,SPOT,SPOT,False,True,False,
TSLA,2025-04,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,TSLA,TSLA,False,True,False,
UBER,2025-04,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,UBER,UBER,False,True,False,
UNH,2025-04,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,UNH,UNH,False,True,False,
V,2025-04,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,V,V,False,True,False,
WMT,2025-04,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,WMT,WMT,False,True,False,
XOM,2025-04,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,XOM,XOM,False,True,False,
SPY,2025-04,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,SPY,SPY,False,True,False,
QQQ,2025-04,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,QQQ,QQQ,False,True,False,
IWM,2025-04,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,IWM,IWM,False,True,False,
DIA,2025-04,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,DIA,DIA,False,True,False,
XLK,2025-04,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,XLK,XLK,False,True,False,
XLF,2025-04,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,XLF,XLF,False,True,False,
XLE,2025-04,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,XLE,XLE,False,True,False,
XLV,2025-04,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,XLV,XLV,False,True,False,
XLI,2025-04,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,XLI,XLI,False,True,False,
XLY,2025-04,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,XLY,XLY,False,True,False,
XLP,2025-04,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,XLP,XLP,False,True,False,
XLU,2025-04,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,XLU,XLU,False,True,False,
SMH,2025-04,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,SMH,SMH,False,True,False,
AAPL,2025-05,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,AAPL,AAPL,False,True,False,
ABBV,2025-05,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,ABBV,ABBV,False,True,False,
ADBE,2025-05,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,ADBE,ADBE,False,True,False,
AMD,2025-05,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,AMD,AMD,False,True,False,
AMZN,2025-05,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,AMZN,AMZN,False,True,False,
APP,2025-05,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,APP,APP,False,True,False,
AVGO,2025-05,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,AVGO,AVGO,False,True,False,
BA,2025-05,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,BA,BA,False,True,False,
BAC,2025-05,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,BAC,BAC,False,True,False,
BRK.B,2025-05,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,BRK.B,BRK.B,False,True,False,
COIN,2025-05,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,COIN,COIN,False,True,False,
COST,2025-05,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,COST,COST,False,True,False,
CRM,2025-05,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,CRM,CRM,False,True,False,
CRWD,2025-05,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,CRWD,CRWD,False,True,False,
CVX,2025-05,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,CVX,CVX,False,True,False,
F,2025-05,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,F,F,False,True,False,
GEV,2025-05,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,GEV,GEV,False,True,False,
GOOG,2025-05,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,GOOG,GOOG,False,True,False,
GOOGL,2025-05,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,GOOGL,GOOGL,False,True,False,
GS,2025-05,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,GS,GS,False,True,False,
HOOD,2025-05,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,HOOD,HOOD,False,True,False,
INTC,2025-05,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,INTC,INTC,False,True,False,
JNJ,2025-05,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,JNJ,JNJ,False,True,False,
JPM,2025-05,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,JPM,JPM,False,True,False,
LLY,2025-05,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,LLY,LLY,False,True,False,
MA,2025-05,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,MA,MA,False,True,False,
META,2025-05,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,META,META,False,True,False,
MRK,2025-05,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,MRK,MRK,False,True,False,
MSFT,2025-05,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,MSFT,MSFT,False,True,False,
MSTR,2025-05,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,MSTR,MSTR,False,True,False,
MU,2025-05,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,MU,MU,False,True,False,
NFLX,2025-05,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,NFLX,NFLX,False,True,False,
NOW,2025-05,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,NOW,NOW,False,True,False,
NVDA,2025-05,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,NVDA,NVDA,False,True,False,
ORCL,2025-05,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,ORCL,ORCL,False,True,False,
PG,2025-05,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,PG,PG,False,True,False,
PLTR,2025-05,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,PLTR,PLTR,False,True,False,
PM,2025-05,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,PM,PM,False,True,False,
QCOM,2025-05,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,QCOM,QCOM,False,True,False,
SMCI,2025-05,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,SMCI,SMCI,False,True,False,
SPOT,2025-05,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,SPOT,SPOT,False,True,False,
TMO,2025-05,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,TMO,TMO,False,True,False,
TSLA,2025-05,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,TSLA,TSLA,False,True,False,
TXN,2025-05,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,TXN,TXN,False,True,False,
UBER,2025-05,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,UBER,UBER,False,True,False,
UNH,2025-05,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,UNH,UNH,False,True,False,
V,2025-05,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,V,V,False,True,False,
WFC,2025-05,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,WFC,WFC,False,True,False,
WMT,2025-05,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,WMT,WMT,False,True,False,
XOM,2025-05,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,XOM,XOM,False,True,False,
SPY,2025-05,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,SPY,SPY,False,True,False,
QQQ,2025-05,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,QQQ,QQQ,False,True,False,
IWM,2025-05,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,IWM,IWM,False,True,False,
DIA,2025-05,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,DIA,DIA,False,True,False,
XLK,2025-05,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,XLK,XLK,False,True,False,
XLF,2025-05,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,XLF,XLF,False,True,False,
XLE,2025-05,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,XLE,XLE,False,True,False,
XLV,2025-05,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,XLV,XLV,False,True,False,
XLI,2025-05,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,XLI,XLI,False,True,False,
XLY,2025-05,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,XLY,XLY,False,True,False,
XLP,2025-05,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,XLP,XLP,False,True,False,
XLU,2025-05,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,XLU,XLU,False,True,False,
SMH,2025-05,development,41,41,3198,3198,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,SMH,SMH,False,True,False,
AAPL,2025-06,development,40,40,3120,3120,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,AAPL,AAPL,False,True,False,
ABBV,2025-06,development,40,40,3120,3120,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,ABBV,ABBV,False,True,False,
AMD,2025-06,development,40,40,3120,3120,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,AMD,AMD,False,True,False,
AMZN,2025-06,development,40,40,3120,3120,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,AMZN,AMZN,False,True,False,
APP,2025-06,development,40,40,3120,3120,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,APP,APP,False,True,False,
AVGO,2025-06,development,40,40,3120,3120,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,AVGO,AVGO,False,True,False,
BA,2025-06,development,40,40,3120,3120,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,BA,BA,False,True,False,
BAC,2025-06,development,40,40,3120,3120,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,BAC,BAC,False,True,False,
BRK.B,2025-06,development,40,40,3120,3120,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,BRK.B,BRK.B,False,True,False,
COIN,2025-06,development,40,40,3120,3120,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,COIN,COIN,False,True,False,
COST,2025-06,development,40,40,3120,3120,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,COST,COST,False,True,False,
CRM,2025-06,development,40,40,3120,3120,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,CRM,CRM,False,True,False,
CRWD,2025-06,development,40,40,3120,3120,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,CRWD,CRWD,False,True,False,
CRWV,2025-06,development,40,40,3120,3120,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,CRWV,CRWV,False,True,False,
CVNA,2025-06,development,40,40,3120,3120,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,CVNA,CVNA,False,True,False,
CVX,2025-06,development,40,40,3120,3120,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,CVX,CVX,False,True,False,
GEV,2025-06,development,40,40,3120,3120,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,GEV,GEV,False,True,False,
GOOG,2025-06,development,40,40,3120,3120,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,GOOG,GOOG,False,True,False,
GOOGL,2025-06,development,40,40,3120,3120,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,GOOGL,GOOGL,False,True,False,
GS,2025-06,development,40,40,3120,3120,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,GS,GS,False,True,False,
HIMS,2025-06,development,40,40,3120,3120,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,HIMS,HIMS,False,True,False,
HOOD,2025-06,development,40,40,3120,3120,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,sip,raw,HOOD,HOOD,False,True,False,
